policy_id,customer_id,policy_type,provider,premium_amount,coverage_amount,policy_duration_years,policy_start_year,policy_end_year,policy_risk_level,policy_status,customer_income,customer_credit_score,customer_employment
POL_546535,CUST_731262,life,"Harris, Sanders and Garcia",2883,81000,8,2018,2026,high,active,53434,729,employed
POL_999082,CUST_201414,life,Arias PLC,2306,193600,10,2020,2030,low,active,68618,691,self-employed
POL_695769,CUST_183667,health,"Ford, Rubio and Moore",1170,71280,7,2024,2031,low,active,35164,738,self-employed
POL_328598,CUST_383060,travel,Mcneil-Schultz,661,45000,3,2024,2027,high,active,44260,791,retired
POL_118676,CUST_246413,life,Parks-Higgins,2353,132000,4,2023,2027,medium,active,56290,685,self-employed
POL_271790,CUST_246413,home,"Thornton, Meadows and Williams",1873,150000,9,2020,2029,medium,active,56290,685,self-employed
POL_738425,CUST_500156,life,Lamb-Cooper,1930,158400,9,2015,2024,medium,active,44373,685,self-employed
POL_810167,CUST_769987,life,Boyd Ltd,1013,118800,2,2017,2019,low,active,80370,794,self-employed
POL_925530,CUST_769987,travel,"Jordan, Lamb and Hernandez",2121,49500,8,2018,2026,medium,active,80370,794,self-employed
POL_950823,CUST_897549,travel,Tapia-Schwartz,1107,60500,5,2019,2024,low,active,62021,746,self-employed
POL_102363,CUST_122056,home,Butler PLC,1094,165000,5,2021,2026,high,inactive,43880,671,self-employed
POL_238657,CUST_122056,travel,Smith-Adams,1411,55000,1,2019,2020,medium,active,43880,671,self-employed
POL_725856,CUST_858490,travel,Garza-Graves,1326,55000,6,2015,2021,medium,active,48834,732,employed
POL_675890,CUST_214576,health,Barr PLC,2489,77000,5,2021,2026,low,active,96498,672,employed
POL_844341,CUST_324130,health,Diaz-Floyd,1949,84700,4,2018,2022,medium,active,46371,672,self-employed
POL_384412,CUST_163918,health,"Ingram, Porter and Mcdowell",1534,40500,7,2019,2026,medium,active,99638,714,employed
POL_204679,CUST_690341,auto,Walker-Hayes,819,11550,3,2017,2020,low,active,43386,596,self-employed
POL_101961,CUST_690341,home,Gordon PLC,2725,165000,1,2018,2019,medium,active,43386,596,self-employed
POL_744419,CUST_377312,travel,"Johnson, Anthony and Bullock",512,50000,3,2016,2019,high,active,88434,666,employed
POL_445125,CUST_374680,health,Mullen-Jensen,1384,101640,10,2021,2031,low,inactive,42471,639,retired
POL_556703,CUST_374680,auto,Horn-Aguilar,1916,11550,6,2024,2030,low,active,42471,639,retired
POL_560400,CUST_918011,health,"Webb, Hardy and Garcia",2207,88000,6,2018,2024,low,active,59536,718,employed
POL_540240,CUST_918011,auto,"Gonzales, Ewing and Wright",547,22500,1,2017,2018,low,active,59536,718,employed
POL_975669,CUST_287241,travel,"Shepherd, Gonzalez and Schmidt",1871,49500,4,2016,2020,medium,inactive,32656,615,retired
POL_904975,CUST_796503,health,"Leonard, Gonzalez and Skinner",787,45000,9,2024,2033,low,active,97199,787,employed
POL_186792,CUST_796503,life,Farmer Group,2422,90000,5,2017,2022,high,active,97199,787,employed
POL_383150,CUST_550770,life,"Garner, Hensley and Whitehead",1057,176000,10,2023,2033,medium,active,51376,686,self-employed
POL_232009,CUST_550770,auto,Navarro and Sons,2308,22500,3,2020,2023,medium,active,51376,686,self-employed
POL_118367,CUST_148458,health,Rodriguez-Mills,3010,69300,9,2024,2033,low,active,82018,704,self-employed
POL_995198,CUST_148458,life,King-Carter,2248,138600,1,2015,2016,high,active,82018,704,self-employed
POL_451828,CUST_989545,life,Lee Group,2494,158400,8,2024,2032,medium,active,62399,614,self-employed
POL_139345,CUST_608136,auto,"Glass, Lee and Buckley",1316,11550,1,2016,2017,medium,active,70150,667,self-employed
POL_222275,CUST_608136,home,"White, Short and Blankenship",840,165000,2,2022,2024,low,active,70150,667,self-employed
POL_687852,CUST_446954,life,Bright-Benjamin,2114,110000,9,2015,2024,medium,active,52010,706,self-employed
POL_449840,CUST_801364,home,Craig-Harris,1927,165000,9,2018,2027,medium,active,61259,630,self-employed
POL_630607,CUST_898207,health,"Schmitt, Pugh and Morrison",1511,79200,7,2022,2029,high,active,58790,722,retired
POL_134478,CUST_596564,life,"Horne, Berg and Irwin",1339,174240,8,2021,2029,medium,active,55351,663,retired
POL_365076,CUST_493537,travel,Johnson Ltd,1727,60500,4,2021,2025,medium,active,119415,682,employed
POL_287107,CUST_990844,travel,"Allen, Green and Pierce",1681,49500,5,2019,2024,medium,active,85724,663,self-employed
POL_394139,CUST_190872,home,"Montgomery, Long and Gardner",1496,135000,7,2022,2029,medium,active,97080,811,employed
POL_701254,CUST_190872,travel,White and Sons,1152,49500,7,2015,2022,low,active,97080,811,employed
POL_838819,CUST_612311,health,"Martinez, Schwartz and Taylor",1067,87120,5,2023,2028,low,active,104789,699,employed
POL_666885,CUST_612311,travel,"Whitaker, Jones and Anderson",818,49500,4,2015,2019,high,active,104789,699,employed
